student_id,question_id,selected_option,correct_option,is_correct,mistake_type,correctness_reason,confidence_signal,key_concept
279200,Q1,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
279200,Q2,B,C,False,Guess,"The student selected option B, but the correct answer is C.",Low,UNKNOWN
279200,Q3,B,D,False,Guess,"The student selected option B, but the correct answer is D.",Low,UNKNOWN
279200,Q4,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
279200,Q5,B,B,True,None,The student selected the correct option B.,High,UNKNOWN
279200,Q6,A,A,True,None,The student selected the correct option A.,High,UNKNOWN
279200,Q7,B,C,False,Conceptual,"The student chose option B (Irrational), but the sum of two irrational numbers can be Real. ",Low,UNKNOWN
279200,Q8,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
279200,Q9,A,A,True,None,The student selected the correct option A.,High,UNKNOWN
279200,Q10,B,B,True,None,The student selected the correct option B.,High,UNKNOWN
279200,Q11,A,A,True,None,The student selected the correct option A.,High,UNKNOWN
279200,Q12,C,C,True,None,The student selected the correct option C.,High,UNKNOWN
279200,Q13,B,B,True,None,The student selected the correct option B.,High,UNKNOWN
279200,Q14,D,A,False,Guess,"The student selected option D, but the correct answer is A.",Low,UNKNOWN
279200,Q15,A,A,True,None,The student selected the correct option A.,High,UNKNOWN
279200,Q16,B,A,False,Calculation,"The student selected option B, but the correct answer is A. Likely made an error in unit conversion or formula application.",Low,UNKNOWN
279200,Q17,C,C,True,None,The student selected the correct option C.,High,UNKNOWN
279200,Q18,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
279200,Q19,A,A,True,None,The student selected the correct option A.,High,UNKNOWN
279200,Q20,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
279200,Q21,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
279200,Q22,D,B,False,Conceptual,"Student chose E=hf, relating energy and frequency, instead of F=dp/dt, relating force and change in momentum.",Low,UNKNOWN
279200,Q23,C,C,True,None,The student selected the correct option C.,High,UNKNOWN
279200,Q24,C,D,False,Conceptual,"The student chose option C, Electromagnetic waves, but the correct answer is D, Longitudinal waves. This indicates a misunderstanding of wave types.",Low,UNKNOWN
279200,Q25,A,C,False,Calculation,"Student selected 0.2 s, but the correct answer is 5.0 s. Incorrect calculation of time taken for sound to travel the given distance.",Low,UNKNOWN
279200,Q26,C,C,True,None,The student selected the correct option C.,High,UNKNOWN
279200,Q27,C,D,False,Conceptual,The student selected option C but the correct answer is D. Indicates confusion with Dalton's atomic theory.,Low,UNKNOWN
279200,Q28,B,B,True,None,The student selected the correct option B.,High,UNKNOWN
279200,Q29,A,A,True,None,The student selected the correct option A.,High,UNKNOWN
279200,Q30,B,C,False,Conceptual,The student chose stream of alpha particles instead of stream of electrons.,Low,UNKNOWN
279200,Q31,C,C,True,None,The student selected the correct option C.,High,UNKNOWN
279200,Q32,C,C,True,None,The student selected the correct option C.,High,UNKNOWN
279200,Q33,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
279200,Q34,B,B,True,None,The student selected the correct option B.,High,UNKNOWN
279200,Q35,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
279200,Q36,C,C,True,None,The student selected the correct option C.,High,UNKNOWN
279200,Q37,A,A,True,None,The student selected the correct option A.,High,UNKNOWN
279200,Q38,D,A,False,Conceptual,"The student chose option D, but the correct answer is A. This suggests confusion between different chloroplast structures.",Low,UNKNOWN
279200,Q39,B,D,False,Conceptual,"The student selected option B, but the correct answer is D. This suggests lack of understanding of cell membrane composition.",Low,UNKNOWN
279200,Q40,A,A,True,None,The student selected the correct option A.,High,UNKNOWN
279200,Q41,D,A,False,Conceptual,"The student selected Acidophilus instead of yeast, indicating a lack of knowledge about common scientific names.",Low,UNKNOWN
279200,Q42,C,C,True,None,The student selected the correct option C.,High,UNKNOWN
279200,Q43,A,A,True,None,The student selected the correct option A.,High,UNKNOWN
279200,Q44,D,D,True,None,The student selected the correct option D.,High,UNKNOWN
279200,Q45,B,B,True,None,The student selected the correct option B.,High,UNKNOWN
981995,Q1,A,D,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q2,B,C,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q3,C,D,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q4,B,D,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q5,A,B,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q6,A,A,True,None,The student selected the correct option.,High,UNKNOWN
981995,Q7,C,C,True,None,The student selected the correct option.,High,UNKNOWN
981995,Q8,C,D,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q9,A,A,True,None,The student selected the correct option.,High,UNKNOWN
981995,Q10,C,B,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q11,A,A,True,None,The student selected the correct option.,High,UNKNOWN
981995,Q12,C,C,True,None,The student selected the correct option.,High,UNKNOWN
981995,Q13,C,B,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q14,B,A,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q15,B,A,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q16,A,A,True,None,The student selected the correct option.,High,UNKNOWN
981995,Q17,B,C,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q18,A,D,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q19,B,A,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q20,D,D,True,None,The student selected the correct option.,High,UNKNOWN
981995,Q21,D,D,True,None,The student selected the correct option.,High,UNKNOWN
981995,Q22,B,B,True,None,The student selected the correct option.,High,UNKNOWN
981995,Q23,B,C,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q24,C,D,False,Guess,"The student selected an incorrect option without a clear pattern, indicating a guess.",Low,UNKNOWN
981995,Q25,C,C,True,None,The student selected the correct option.,High,UNKNOWN
981995,Q26,C,C,True,None,The student selected the correct option.,High,UNKNOWN
981995,Q27,D,D,True,None,The student selected the correct option.,High,UNKNOWN
981995,Q28,B,B,True,None,The student selected the correct option.,High,UNKNOWN
