student_id,question_id,selected_option,correct_option,is_correct,status,attempted,key_concept,difficulty_tag
32245,Q1,A,A,True,Correct,True,,Hard
32245,Q2,A,A,True,Correct,True,,Easy
32245,Q3,D,D,True,Correct,True,,Easy
32245,Q4,C,C,True,Correct,True,,Medium
32245,Q5,A,A,True,Correct,True,,Easy
32245,Q6,B,B,True,Correct,True,,Easy
32245,Q7,B,B,True,Correct,True,,Easy
32245,Q8,D,D,True,Correct,True,,Easy
32245,Q9,C,C,True,Correct,True,,Easy
32245,Q10,C,A,False,Incorrect,True,,Medium
32245,Q11,B,B,True,Correct,True,,Hard
32245,Q12,B,B,True,Correct,True,,Hard
32245,Q13,A,A,True,Correct,True,,Medium
32245,Q14,B,B,True,Correct,True,,Easy
32245,Q15,D,D,True,Correct,True,,Medium
32245,Q16,A,A,True,Correct,True,,Easy
32245,Q17,D,D,True,Correct,True,,Easy
32245,Q18,C,B,False,Incorrect,True,,Hard
32245,Q19,C,A,False,Incorrect,True,,Easy
32245,Q20,C,C,True,Correct,True,,Easy
32245,Q21,B,B,True,Correct,True,,Easy
32245,Q22,B,B,True,Correct,True,,Easy
32245,Q23,B,B,True,Correct,True,,Easy
32245,Q24,A,D,False,Incorrect,True,,Hard
32245,Q25,D,C,False,Incorrect,True,,Hard
32245,Q26,C,C,True,Correct,True,,Easy
32245,Q27,A,A,True,Correct,True,,Medium
32245,Q28,A,A,True,Correct,True,,Medium
32245,Q29,B,D,False,Incorrect,True,,Hard
32245,Q30,A,A,True,Correct,True,,Easy
32245,Q31,B,B,True,Correct,True,,Easy
32245,Q32,D,D,True,Correct,True,,Easy
32245,Q33,B,B,True,Correct,True,,Easy
32245,Q34,A,A,True,Correct,True,,Easy
32245,Q35,D,D,True,Correct,True,,Easy
32245,Q36,B,D,False,Incorrect,True,,Hard
32245,Q37,A,C,False,Incorrect,True,,Hard
32245,Q38,D,D,True,Correct,True,,Easy
32245,Q39,C,B,False,Incorrect,True,,Hard
32245,Q40,B,B,True,Correct,True,,Medium
32245,Q41,D,D,True,Correct,True,,Easy
32245,Q42,B,B,True,Correct,True,,Easy
32245,Q43,C,C,True,Correct,True,,Easy
32245,Q44,D,D,True,Correct,True,,Easy
32245,Q45,A,B,False,Incorrect,True,,Medium
748000,Q1,A,A,True,Correct,True,,Hard
748000,Q2,A,A,True,Correct,True,,Easy
748000,Q3,D,D,True,Correct,True,,Easy
748000,Q4,C,C,True,Correct,True,,Medium
748000,Q5,A,A,True,Correct,True,,Easy
748000,Q6,B,B,True,Correct,True,,Easy
748000,Q7,B,B,True,Correct,True,,Easy
748000,Q8,D,D,True,Correct,True,,Easy
748000,Q9,C,C,True,Correct,True,,Easy
748000,Q10,A,A,True,Correct,True,,Medium
748000,Q11,C,B,False,Incorrect,True,,Hard
748000,Q12,A,B,False,Incorrect,True,,Hard
748000,Q13,A,A,True,Correct,True,,Medium
748000,Q14,B,B,True,Correct,True,,Easy
748000,Q15,D,D,True,Correct,True,,Medium
748000,Q16,A,A,True,Correct,True,,Easy
748000,Q17,D,D,True,Correct,True,,Easy
748000,Q18,B,B,True,Correct,True,,Hard
748000,Q19,A,A,True,Correct,True,,Easy
748000,Q20,C,C,True,Correct,True,,Easy
748000,Q21,B,B,True,Correct,True,,Easy
748000,Q22,B,B,True,Correct,True,,Easy
748000,Q23,B,B,True,Correct,True,,Easy
748000,Q24,A,D,False,Incorrect,True,,Hard
748000,Q25,B,C,False,Incorrect,True,,Hard
748000,Q26,C,C,True,Correct,True,,Easy
748000,Q27,C,A,False,Incorrect,True,,Medium
748000,Q28,C,A,False,Incorrect,True,,Medium
748000,Q29,B,D,False,Incorrect,True,,Hard
748000,Q30,A,A,True,Correct,True,,Easy
748000,Q31,B,B,True,Correct,True,,Easy
748000,Q32,D,D,True,Correct,True,,Easy
748000,Q33,B,B,True,Correct,True,,Easy
748000,Q34,A,A,True,Correct,True,,Easy
748000,Q35,D,D,True,Correct,True,,Easy
748000,Q36,B,D,False,Incorrect,True,,Hard
748000,Q37,B,C,False,Incorrect,True,,Hard
748000,Q38,D,D,True,Correct,True,,Easy
748000,Q39,B,B,True,Correct,True,,Hard
748000,Q40,D,B,False,Incorrect,True,,Medium
748000,Q41,C,D,False,Incorrect,True,,Easy
748000,Q42,B,B,True,Correct,True,,Easy
748000,Q43,C,C,True,Correct,True,,Easy
748000,Q44,D,D,True,Correct,True,,Easy
748000,Q45,B,B,True,Correct,True,,Medium
265300,Q1,C,A,False,Incorrect,True,,Hard
265300,Q2,A,A,True,Correct,True,,Easy
